city,country,lat,lon,currency,index_general,mean_wealth_per_adult,gini_wealth,idx_housing,idx_food,idx_transport,idx_utilities,idx_leisure,idx_healthcare
New York,USA,40.7128,-74.0060,USD,1.00,350000,0.81,1.00,1.00,1.00,1.00,1.00,1.00
Lisbon,Portugal,38.7223,-9.1393,EUR,0.53,150000,0.80,0.55,0.75,0.60,0.80,0.75,0.70
Berlin,Germany,52.5200,13.4050,EUR,0.61,220000,0.79,0.60,0.85,0.70,0.95,0.85,0.85
Rome,Italy,41.9028,12.4964,EUR,0.58,200000,0.80,0.62,0.85,0.65,0.90,0.85,0.85
Milan,Italy,45.4642,9.1900,EUR,0.63,220000,0.80,0.70,0.90,0.70,0.95,0.95,0.90
Paris,France,48.8566,2.3522,EUR,0.70,250000,0.79,0.85,0.95,0.85,1.00,1.00,0.95
Geneva,Switzerland,46.2044,6.1432,CHF,0.95,300000,0.78,1.15,1.10,1.05,1.05,1.10,1.00
Zurich,Switzerland,47.3769,8.5417,CHF,0.97,350000,0.78,1.20,1.15,1.10,1.10,1.15,1.05
Bangkok,Thailand,13.7563,100.5018,THB,0.37,60000,0.85,0.28,0.45,0.40,0.55,0.55,0.40
Bali,Indonesia,-8.3405,115.0920,IDR,0.32,40000,0.86,0.25,0.40,0.38,0.50,0.50,0.40
Buenos Aires,Argentina,-34.6037,-58.3816,ARS,0.29,50000,0.88,0.22,0.40,0.35,0.45,0.50,0.45
Tbilisi,Georgia,41.7151,44.8271,GEL,0.34,70000,0.84,0.30,0.45,0.40,0.55,0.55,0.50
Rio de Janeiro,Brazil,-22.9068,-43.1729,BRL,0.42,80000,0.86,0.40,0.55,0.50,0.65,0.65,0.55
Medellín,Colombia,6.2442,-75.5812,COP,0.32,65000,0.85,0.28,0.45,0.45,0.55,0.55,0.50
Manila,Philippines,14.5995,120.9842,PHP,0.28,50000,0.87,0.24,0.40,0.40,0.50,0.50,0.45
